names,relative_mass,r,g,b,pos_x,pos_y,pos_z,velocity_x,velocity_y,velocity_z
Gaia DR3 6097896886432620160,0.24154606709951582,255,187,130,102.13838552626156,-85.24345201435627,27.541273168203286,-12415.61272237945,-15992.64870506043,-6437.642102212244
Gaia DR3 4143946590790321280,1.0846405658350584,222,230,255,1534.780775153682,319.18680658297757,54.412636204787766,8714.239761935462,-42576.53961942403,-19174.133740969086
Gaia DR3 5813418731155528832,1.1434397804918177,255,238,223,1108.7597764953396,-754.3274682060725,-387.7283409468184,-46075.27403286694,-51314.36418661551,-29709.90454419154
Gaia DR3 178382468684885248,0.9901958404957498,254,249,255,-1048.8879701984617,314.2235631138821,-132.72979544638844,-1092.9577961789234,2591.2790980991367,21729.903033377348
Gaia DR3 6306255164518133504,0.2248490708681369,255,192,140,74.36720336494443,-27.681911802707138,58.718604844541915,3923.1001778367367,-49373.147231185576,-29395.716174004207
Gaia DR3 4204665338059756800,1.5783001285449267,0,0,255,2015.8295250390822,1078.4779245525363,-278.13881783531156,27641.756073184337,-60770.34477105401,-28181.715767816295
Gaia DR3 6738309976641544448,0.9718300998113608,255,244,233,856.0821316873181,1.966878543871303,-382.419902058031,-18447.644666767716,3000.7036426148197,-39463.971211105934
Gaia DR3 5411757817731469056,1.0103376624539264,255,246,237,62.99868920674491,-1067.581512837164,132.69732533846434,-44866.37885362831,-5967.515500383093,-30832.586274637273
Gaia DR3 4481654891413205632,1.2028776806160701,255,252,247,1008.2632516622056,755.3322747152916,255.17531799978903,-691.7682307970227,-1111.0635217909949,1565.686567870046
Gaia DR3 4090819739418411392,0.5249020749057187,0,0,255,328.0226276792106,56.0803300415581,-15.85911287990244,-208.92212694789004,-2504.573716759821,3158.326652226649
Gaia DR3 5983779674111409920,0.9700906484260109,181,205,255,983.6217908098741,-475.4851905817803,36.59172623674112,-10621.261375328522,-21704.236089000548,-15389.255945717094
Gaia DR3 5881982867572928128,1.4606008861888313,0,0,255,1583.8085775835368,-1245.576321501875,-96.23694829228828,-28145.717735801863,-33098.24263998077,-22553.860275192284
Gaia DR3 4275429872033135744,1.0066450311909592,255,247,238,941.5946447364205,487.83652978586673,202.81170598636214,33544.87196751187,-72814.2595825632,14911.575716464953
Gaia DR3 6245719833867683072,1.2323027967065927,255,252,247,1369.7441084658753,-148.05168459427068,587.6402650233249,-94259.33540180726,-184634.06816330613,171383.99112198016
Gaia DR3 4099761964507496192,1.5159109576524443,224,231,255,1611.8592612877915,460.93083449101937,-122.45093269597437,-3567.4825617559372,9119.75010591476,-1724.9182518021044
Gaia DR3 6016915037567888384,0.8145397649848625,255,233,215,704.129240413259,-240.85692516786102,67.40042371973776,-7632.73089118996,-20372.55198570611,-246.42514483790697
Gaia DR3 4046347410361945600,1.1900544550661836,255,238,223,1112.3117825911468,38.213866123008366,-159.0933082738609,-2656.7631930792527,-58626.83511599089,-27484.817283109252
Gaia DR3 4308996102299455744,0.8353758779593851,0,0,255,558.4393904771719,543.1060813514673,-19.196397598210964,-5677.5740887490565,3884.9338491696535,-18963.381287933196
Gaia DR3 3060064971779337984,0.9433543268644891,255,252,246,-543.3362857417999,-442.1878012222723,57.79445412902246,47667.13561014837,-70333.5698357359,-97116.94438902775
Gaia DR3 295721799844057728,0.12509667160991356,255,177,110,-25.625128442993553,25.17006254711619,-24.775012348335974,-38440.880897499504,-48599.35404152623,-8079.768134316225
Gaia DR3 3426682899124622080,1.2524549846465964,255,244,233,-1535.0779975827263,-170.95928528261382,76.23364240038875,1923.039233869307,-14200.385695373616,-7574.591903472337
Gaia DR3 404329771732233984,0.9826684564560709,0,0,255,-442.58435201041004,640.5869883988796,-162.89932717269312,1067.3017634002167,-6584.900787872475,-24256.99676879171
Gaia DR3 4102928386097611392,0.622017625804856,255,242,231,516.455811245852,157.4492861053274,-38.50708432357692,2637.973838331064,-12395.190006618894,-4232.396331978959
Gaia DR3 4093771378486656640,1.0797274634253717,249,246,255,1729.3941390010884,488.0004174154859,-121.10242880259322,3581.9658435655615,-12820.888059704868,11111.918382983627
Gaia DR3 4090667766374029184,1.2459052157909412,0,0,255,1012.8286714251432,182.11831563278335,-56.65133259905728,-922.3642344933255,2047.5532540089957,3851.7699454867193
Gaia DR3 3347047264790474368,1.0191663974014376,255,246,237,-1012.5440743752009,-239.44290958155995,-115.91750231379649,6163.417031755676,-17093.973387061244,-12419.427789882677
Gaia DR3 4255635020637075072,0.25171702701329096,255,194,143,118.64831443099011,67.80962255731667,-5.441837597025407,11758.463510537671,-23264.12228740763,-12607.90882124019
Gaia DR3 117559409580951936,1.0023178107132895,255,235,219,-867.6286720293471,307.67728907539635,-428.6426073341824,3152.704880462425,-7869.0155914439765,-10137.419197511861
Gaia DR3 5979834420309680768,0.664893376055579,0,0,255,577.4458518966466,-71.57677379344558,35.07287178876666,-24353.09927510698,-155005.97131001466,73358.87554738362
Gaia DR3 5952840718258163840,1.0406287756552215,0,0,255,1405.7905639157466,-402.07941605314863,-116.75909073735676,-36309.48790201244,-115864.7005959661,-30138.05939615588
Gaia DR3 5253216422951832960,1.7954956101469846,255,235,219,795.7545036295704,-2852.9929260847243,-234.31519125496087,-74855.55606632255,-18698.548994146866,-20464.602862145246
Gaia DR3 5973950349378625408,1.4160362265677706,0,0,255,1780.3730576885914,-299.56572152370586,36.40444849779237,-2866.952216944521,-14335.631504635538,-10557.429805092248
Gaia DR3 3113552398538504192,0.38543251828238256,0,0,255,-212.56103972322106,-135.7343559712155,0.5346305741270451,5840.403058562953,-8071.879783001778,-5217.995979376349
Gaia DR3 4305603151159495040,2.012004136019559,220,229,255,2342.342241180939,1969.5863492033168,-78.17374254252589,29354.00022967431,-36312.60628990958,-1738.73269433395
Gaia DR3 6252525948280547328,1.349422233250424,255,236,221,1330.0010819947108,-433.58802778319193,814.4030989677884,-24140.567856467656,-28747.579023204704,22848.57378769717
Gaia DR3 4093519487238541952,1.499972800072212,255,229,209,2417.694762667667,614.892421443579,-174.33952510905954,18086.265491499493,-75153.0922318064,-3377.632198079447
Gaia DR3 6102244488540279424,1.0054945534844961,255,239,224,759.8527177370503,-510.5121316171932,290.20187722029897,-18001.42111959058,-8169.270780377095,30867.984502160554
Gaia DR3 2678510071583725184,0.4203678444927107,255,207,168,72.15553187681365,159.021112896043,-174.02782622368673,38889.884935533766,-30416.686326849656,-10454.490880632793
